pipeline_name,Dataset,exit_code,numOfFiles
BIDS App - ndmg,SIMON-dataset,2
BIDS App - ndmg,,2
BIDS app example,SIMON-dataset,0
BIDS app example,SIMON-dataset,1
BIDS app example,,1
BIDS app example,,0
BrainExtraction,SIMON-dataset,125
Dipy Deterministic Tracking,,0
Example Boutiques Tool,,0
FLIRT,,134
FLIRT,SIMON-dataset,0
FreeSurferPipelineBatch-CentOS7,,0
FreeSurferPipelineBatch-CentOS7,BigBrainHippoUnfold,0
MCFLIRT,visual-working-memory,0
MCFLIRT,BigBrain,0
MCFLIRT,BigBrain_3DClassifiedVolumes,0
MCFLIRT,BigBrain_3DSurfaces,0
MCFLIRT,,0
MCFLIRT,SIMON-dataset,0
fsl_bet,,0
fsl_bet,visual-working-memory,0
fsl_bet,BigBrain,0
fsl_bet,BigBrain_3DClassifiedVolumes,0
fsl_bet,BigBrain_3DSurfaces,0
fsl_bet,SIMON-dataset,0
fsl_fast,,1
fsl_fast,SIMON-dataset,0
fsl_fast,SIMON-dataset,1
fsl_first,,1
fsl_first,SIMON-dataset,1
fslstats,visual-working-memory,0
fslstats,BigBrain,0
fslstats,BigBrain_3DClassifiedVolumes,0
fslstats,BigBrain_3DSurfaces,0
fslstats,,0
fslstats,,255
fslstats,SIMON-dataset,0
oneVoxel,,0
oneVoxel,SIMON-dataset,0
